Column_1,Column_2,Column_3,Column_4,Column_5
12,0.3373,E,2021-12-01,true
71,0.2443,A,2023-12-29,true
25,0.8606,E,2022-02-12,false
4,0.1222,B,2022-09-01,false
11,0.7978,A,2021-12-16,true
16,0.3158,C,2020-10-05,true
50,0.2316,D,2022-06-23,true
74,0.0931,B,2021-08-01,true
32,0.1001,D,2021-06-13,true
15,0.6125,B,2020-08-12,true
47,0.0837,D,2021-04-25,false
8,0.1074,C,2022-08-25,true
42,0.9726,D,2022-02-18,false
27,0.4683,D,2022-01-13,false
86,0.2950,C,2023-03-19,false
47,0.5942,D,2023-01-31,true
6,0.4983,D,2023-04-12,true
9,0.3343,C,2023-06-07,true
80,0.2690,B,2021-03-17,false
27,0.7280,D,2022-04-07,false
86,0.1479,D,2022-07-06,false
66,0.3175,B,2021-10-19,false
92,0.1070,B,2021-03-16,false
0,0.1306,A,2020-06-10,true
89,0.9434,C,2020-11-06,false
90,0.5560,C,2020-04-02,false
34,0.1263,A,2020-03-05,false
14,0.9004,C,2020-07-11,false
90,0.8448,B,2021-07-29,false
83,0.9516,A,2021-07-30,true
17,0.3698,C,2022-11-28,false
14,0.5049,D,2021-07-08,false
34,0.7195,B,2023-11-02,false
36,0.3981,E,2020-06-19,true
75,0.4528,B,2020-03-04,false
17,0.0320,E,2021-05-21,false
10,0.5648,C,2023-04-21,true
36,0.8731,D,2021-06-05,true
31,0.6500,A,2022-02-20,true
39,0.8476,A,2020-06-25,false
61,0.0174,C,2022-11-09,true
97,0.0347,E,2020-10-20,true
42,0.5100,E,2021-12-07,false
97,0.3046,E,2021-11-29,false
92,0.7838,D,2023-05-06,false
75,0.4223,A,2022-12-22,true
94,0.6655,C,2022-05-30,false
47,0.4818,D,2022-04-16,false
14,0.8090,C,2022-02-02,false
13,0.3546,A,2023-09-26,false
24,0.1920,E,2021-05-05,false
79,0.0231,C,2022-07-20,false
21,0.4196,D,2021-07-20,true
13,0.9319,A,2023-11-05,true
11,0.3184,E,2021-09-27,false
5,0.1092,D,2021-02-14,true
42,0.9598,A,2021-12-16,false
20,0.8529,C,2022-09-13,true
42,0.6757,C,2022-10-23,false
32,0.5111,B,2022-09-24,false
87,0.5060,C,2020-01-11,true
77,0.2994,A,2020-03-30,true
99,0.2925,A,2022-04-29,true
79,0.9218,C,2020-03-11,true
35,0.5685,E,2022-12-27,false
83,0.7239,E,2021-04-02,false
10,0.9340,E,2022-03-25,true
70,0.8933,A,2022-11-14,true
20,0.0842,B,2022-03-03,true
99,0.0784,E,2023-05-24,false
59,0.7669,A,2020-07-01,true
45,0.1568,D,2020-01-15,false
82,0.9176,D,2022-11-22,false
94,0.5035,D,2020-12-21,true
77,0.7442,D,2020-04-05,false
8,0.5097,B,2021-03-31,false
65,0.8362,A,2023-07-22,false
36,0.8182,B,2020-01-28,false
52,0.7348,B,2023-06-20,true
5,0.8431,E,2020-09-22,true
17,0.5270,D,2021-05-06,true
61,0.3575,D,2022-07-30,false
32,0.3009,E,2021-03-19,true
78,0.2063,D,2022-07-17,false
79,0.4131,D,2022-02-25,true
38,0.3526,D,2023-10-16,false
78,0.0611,D,2021-08-26,false
52,0.4361,B,2020-12-19,false
9,0.2344,C,2021-06-20,true
81,0.7179,D,2022-12-29,true
77,0.2207,B,2023-11-21,true
26,0.3238,E,2020-01-21,false
39,0.7661,A,2023-03-25,true
92,0.4801,D,2021-06-07,false
37,0.9522,A,2022-09-18,true
82,0.0213,E,2020-01-14,true
5,0.9354,A,2020-09-01,false
1,0.7325,D,2021-01-27,true
78,0.9733,C,2023-10-04,false
55,0.4944,B,2020-09-20,true
