timestamp,dimension_1,dimension_2,dimension_3,dimension_4,dimension_5
2025-03-10 16:35:11,-6.19733,2.6157,-0.249582,-3.71384,6.81566
2025-03-10 17:35:11,0.470094,3.45078,-9.79811,7.46333,-5.31643
2025-03-10 18:35:11,5.77188,-2.02326,10.6949,-1.3421,7.80688
2025-03-10 19:35:11,6.43077,3.84228,2.70066,-0.183231,-3.29201
2025-03-10 20:35:11,-3.07668,5.99004,10.0093,-7.39216,-8.789
2025-03-10 21:35:11,-8.76433,-1.96042,-4.98082,-7.63629,1.47449
2025-03-10 22:35:11,-9.04751,-10.0322,5.88671,-7.55077,4.12989
2025-03-10 23:35:11,1.28367,-7.3542,5.19259,9.6644,0.695509
2025-03-11 00:35:11,6.78045,-2.3006,4.90078,-8.10879,-5.80629
2025-03-11 01:35:11,-6.04578,2.9148,-7.40851,-3.64329,8.41498
2025-03-11 02:35:11,-0.663843,6.4487,7.00997,-5.60489,-5.64974
2025-03-11 03:35:11,0.253208,-5.5004,12.0541,-0.015092,-1.52252
2025-03-11 04:35:11,-10.5975,-0.114604,12.2947,-3.44003,-4.97678
2025-03-11 05:35:11,8.33219,0.541207,8.11621,5.48572,0.22973
2025-03-11 06:35:11,1.22236,5.59968,-0.7231,-3.50737,-4.64488
2025-03-11 07:35:11,-12.7601,-6.48657,-8.87858,7.62821,-9.40612
2025-03-11 08:35:11,-8.86956,3.48623,-6.79794,6.86731,6.53902
2025-03-11 09:35:11,-1.38611,-0.598707,3.99851,6.34494,-9.2994
2025-03-11 10:35:11,-11.6864,4.55547,3.6149,-2.48362,-1.32971
2025-03-11 11:35:11,6.33744,6.31144,-6.43125,2.98834,-1.59049
2025-03-11 12:35:11,-1.39107,-3.05678,-7.18234,-1.39201,-3.33751
2025-03-11 13:35:11,-9.96885,-5.76805,-7.28483,-4.69728,8.47406
2025-03-11 14:35:11,6.52945,-3.59089,11.6428,-2.83874,13.5573
2025-03-11 15:35:11,-8.06993,-7.86942,-1.52085,3.20194,0.715419
2025-03-11 16:35:11,6.29531,-6.72948,6.37706,-5.25118,-11.3352
2025-03-11 17:35:11,-1.30297,-7.51684,4.13145,7.61003,3.03884
2025-03-11 18:35:11,3.4185,3.77164,-10.8142,-5.88254,0.787967
2025-03-11 19:35:11,9.04076,2.46083,-0.814003,-3.65523,6.71495
2025-03-11 20:35:11,-1.82238,-5.97956,11.3307,3.97308,-2.84104
2025-03-11 21:35:11,4.55769,3.09702,2.03724,10.0426,-5.65239
2025-03-11 22:35:11,-8.4347,11.6973,-4.03773,1.86547,1.64627
2025-03-11 23:35:11,0.520628,7.2164,-1.52099,-6.15445,5.19906
2025-03-12 00:35:11,9.74093,10.6891,5.97806,6.21979,7.94403
2025-03-12 01:35:11,-5.10253,-0.48952,2.8618,5.6535,10.2646
2025-03-12 02:35:11,-2.55625,-16.0975,6.81227,7.99646,5.04922
2025-03-12 03:35:11,4.2461,3.98461,8.66661,-6.19675,-2.05506
2025-03-12 04:35:11,10.7885,-4.51206,3.56905,8.65358,9.57229
2025-03-12 05:35:11,0.452211,-1.2558,1.04245,9.71702,-6.83645
2025-03-12 06:35:11,0.794022,5.75753,7.74259,-4.04402,5.4138
2025-03-12 07:35:11,6.32712,-1.38665,10.4117,-3.40169,-1.63424
2025-03-12 08:35:11,-3.03125,-9.42502,6.45244,1.73207,13.5912
2025-03-12 09:35:11,2.28519,-9.19314,-3.21637,2.46491,4.75675
2025-03-12 10:35:11,-0.498268,-4.77796,-9.01562,10.0623,4.54232
2025-03-12 11:35:11,-9.58305,0.585885,-0.127737,-11.3245,5.29333
2025-03-12 12:35:11,-9.55543,-12.0027,-0.217026,7.72486,-0.435545
2025-03-12 13:35:11,-12.0189,3.46233,12.7338,-7.26144,11.572
2025-03-12 14:35:11,6.49802,4.49821,-2.60923,-2.4526,2.15138
2025-03-12 15:35:11,2.56368,5.35039,10.3709,2.23711,-3.38312
2025-03-12 16:35:11,6.8015,-7.96616,-13.336,12.7475,-0.947188
2025-03-12 17:35:11,-2.48086,-15.1636,-5.86478,1.87394,-0.103231
2025-03-12 18:35:11,3.27079,-4.94489,7.37459,-1.37609,-5.76679
2025-03-12 19:35:11,-0.0309699,9.54428,-6.16846,9.12381,7.74107
2025-03-12 20:35:11,-6.97975,-6.16754,-0.0958453,-8.42536,8.73158
2025-03-12 21:35:11,-7.78576,0.76247,-1.48358,8.5278,-8.71556
2025-03-12 22:35:11,-4.7728,10.8584,1.14216,17.8732,14.8977
2025-03-12 23:35:11,14.3473,3.27586,12.0766,-8.0813,12.1802
2025-03-13 00:35:11,2.18743,11.9795,-5.65455,-3.49215,-4.2643
2025-03-13 01:35:11,-3.11035,8.30973,0.79596,-4.70752,-0.0186189
2025-03-13 02:35:11,8.9484,6.05349,2.99335,-8.05832,0.0147613
2025-03-13 03:35:11,7.69229,7.28354,-1.20739,3.40025,-11.2547
2025-03-13 04:35:11,-9.68193,-9.49839,12.9533,-4.99687,-2.21996
2025-03-13 05:35:11,-1.53038,8.63636,1.38588,-15.2339,-3.46301
2025-03-13 06:35:11,3.97042,-1.29764,-11.5864,-3.45883,8.12569
2025-03-13 07:35:11,1.76737,-4.35822,0.758298,-4.74091,-13.2668
2025-03-13 08:35:11,8.38124,1.66329,-0.455666,-12.6524,0.169921
2025-03-13 09:35:11,5.41123,9.29449,4.18409,8.94178,0.265598
2025-03-13 10:35:11,-8.59777,-5.99768,-4.32972,5.77465,0.317887
2025-03-13 11:35:11,1.13477,10.7865,-16.141,6.00102,6.19223
2025-03-13 12:35:11,-17.0829,-1.82951,-19.3758,-8.70358,-7.75469
2025-03-13 13:35:11,-7.45504,5.92249,3.86419,-8.86587,-4.64777
2025-03-13 14:35:11,0.270574,-0.800786,-0.1552,-17.4351,-6.04736
2025-03-13 15:35:11,-1.71326,0.21757,8.98676,-2.14893,12.2132
2025-03-13 16:35:11,-7.67509,1.6115,9.21276,-1.56924,8.76024
2025-03-13 17:35:11,10.4422,-2.95095,-7.50901,7.75827,0.257655
2025-03-13 18:35:11,11.4597,7.67031,7.63012,0.945268,14.3205
2025-03-13 19:35:11,-5.06459,-16.0951,6.37475,-9.53992,3.94519
2025-03-13 20:35:11,11.7806,8.87319,2.78719,-10.4161,-1.29518
2025-03-13 21:35:11,4.00623,-7.95131,5.20948,9.23271,-0.2696
2025-03-13 22:35:11,7.43049,5.84267,-10.1285,-0.223955,10.3881
2025-03-13 23:35:11,1.28902,1.0258,5.63443,1.78813,9.35012
2025-03-14 00:35:11,6.99453,-3.79629,-4.85703,3.3704,-1.56093
2025-03-14 01:35:11,14.6115,-3.00369,6.38759,9.61553,-1.6796
2025-03-14 02:35:11,-8.12758,-8.81924,-17.3097,0.18396,11.8305
2025-03-14 03:35:11,-14.4016,-2.30282,-2.44848,10.8407,-0.495498
2025-03-14 04:35:11,-11.8943,5.42153,-8.98354,-8.99767,10.1493
2025-03-14 05:35:11,16.2357,13.263,7.90863,9.24514,-3.186
2025-03-14 06:35:11,-13.3955,3.91599,6.27933,-10.916,3.0504
2025-03-14 07:35:11,8.65218,0.880402,-11.2406,-13.5439,6.71348
2025-03-14 08:35:11,3.68742,2.83506,-1.05342,6.19289,6.23946
2025-03-14 09:35:11,4.44996,10.8331,-4.55261,3.81987,-4.47282
2025-03-14 10:35:11,5.36317,-6.10685,13.4761,-0.196534,5.27615
2025-03-14 11:35:11,-4.3137,-12.6401,0.39301,4.14333,-4.60325
2025-03-14 12:35:11,-4.65698,-9.97224,-4.91318,-14.2503,9.50189
2025-03-14 13:35:11,-4.52822,-8.30674,8.66515,-5.573,13.2548
2025-03-14 14:35:11,0.176355,-7.21567,-12.4754,-9.10427,14.7947
2025-03-14 15:35:11,5.33323,-2.21182,5.87857,9.75488,14.0451
2025-03-14 16:35:11,-8.81722,-8.90399,0.576875,9.13817,5.78984
2025-03-14 17:35:11,3.59793,14.5214,-11.3156,0.359435,4.46833
2025-03-14 18:35:11,-0.170454,-1.1277,4.55675,10.0434,-1.8119
2025-03-14 19:35:11,-8.49478,1.531,-2.74668,15.1949,2.35461
